x_p,delta_V
0.0000000000,0.0000000000
0.2667309363,-0.0035527482
0.2669740374,-0.0024953751
0.2671015755,-0.0026526748
0.2672134777,-0.0028616100
0.2673177637,-0.0030976437
0.2674183010,-0.0033470390
0.2675167655,-0.0036036193
0.2676144010,-0.0038627000
0.2677115870,-0.0041227393
0.2678084806,-0.0043829359
0.2679052641,-0.0046423865
0.2680018999,-0.0049012397
0.2680985080,-0.0051587732
0.2681950390,-0.0054152468
0.2682915715,-0.0056701110
0.2683881194,-0.0059232485
0.2684846618,-0.0061747701
0.2685811988,-0.0064246496
0.2686777310,-0.0066728476
0.2687742675,-0.0069190865
0.2688708022,-0.0071635082
0.2689673351,-0.0074060865
0.2690638662,-0.0076467950
0.2691603988,-0.0078855105
0.2692569372,-0.0081220878
0.2693534772,-0.0083566195
0.2694500188,-0.0085890792
0.2695465620,-0.0088194406
0.2696431067,-0.0090476774
0.2697396531,-0.0092737632
0.2698362010,-0.0094976717
0.2699327505,-0.0097193766
0.2700293012,-0.0099388375
0.2701258474,-0.0101558355
0.2702223938,-0.0103705088
0.2703189406,-0.0105828310
0.2704154877,-0.0107927758
0.2705120352,-0.0110003169
0.2706085829,-0.0112054280
0.2707051311,-0.0114080826
0.2708016795,-0.0116082546
0.2708982283,-0.0118059175
0.2709947763,-0.0120008744
0.2710913240,-0.0121931721
0.2711878718,-0.0123828364
0.2712844197,-0.0125698410
0.2713809676,-0.0127541596
0.2714775155,-0.0129357658
0.2715740635,-0.0131146333
0.2716706115,-0.0132907358
0.2717671595,-0.0134640469
0.2718637076,-0.0136344603
0.2719602554,-0.0138018925
0.2720568033,-0.0139664154
0.2721533512,-0.0141280028
0.2722498990,-0.0142866283
0.2723464469,-0.0144422656
0.2724429947,-0.0145948883
0.2725395426,-0.0147444703
0.2726360904,-0.0148909850
0.2727326382,-0.0150343978
0.2728291861,-0.0151755432
0.2729257339,-0.0153154097
0.2730222818,-0.0154539790
0.2731188297,-0.0155912328
0.2732153775,-0.0157271530
0.2733119254,-0.0158617212
0.2734084732,-0.0159949192
0.2735050211,-0.0161267287
0.2736015690,-0.0162571314
0.2736981169,-0.0163861092
0.2737946648,-0.0165136436
0.2738912127,-0.0166397166
0.2739877606,-0.0167643098
0.2740843085,-0.0168874049
0.2741808565,-0.0170089837
0.2742774044,-0.0171290280
0.2743739524,-0.0172475194
0.2744705003,-0.0173644397
0.2745670483,-0.0174798088
0.2746635962,-0.0175936279
0.2747601442,-0.0177058369
0.2748566922,-0.0178164187
0.2749532401,-0.0179253559
0.2750497881,-0.0180326311
0.2751463361,-0.0181382270
0.2752428841,-0.0182421264
0.2753394321,-0.0183443118
0.2754359801,-0.0184447660
0.2755325282,-0.0185434716
0.2756290762,-0.0186404114
0.2757256242,-0.0187355679
0.2758221723,-0.0188289239
