# OCP of Gr (anode) vs Li/Li+ digitized from https://real.hanyang.ac.kr/materials
# sto,ocp
0.012500,0.813360
0.013330,0.741390
0.014170,0.669410
0.015000,0.617040
0.015830,0.564670
0.016670,0.526240
0.017500,0.499130
0.018330,0.472020
0.019170,0.466120
0.020000,0.454410
0.020830,0.442690
0.021670,0.436960
0.022500,0.428840
0.023330,0.420720
0.024170,0.413060
0.025000,0.405680
0.025830,0.398290
0.026670,0.391290
0.027500,0.384520
0.028330,0.377750
0.029170,0.371310
0.030000,0.365070
0.030830,0.358830
0.031670,0.352900
0.032500,0.347120
0.033330,0.341340
0.034170,0.335740
0.035000,0.330380
0.035830,0.325010
0.036670,0.319920
0.037500,0.314940
0.038330,0.309950
0.039170,0.305130
0.040000,0.300500
0.040830,0.295870
0.041670,0.291470
0.042500,0.287160
0.043330,0.282850
0.044170,0.278640
0.045000,0.274620
0.045830,0.270610
0.046670,0.266810
0.047500,0.263090
0.048330,0.259390
0.049170,0.255780
0.050000,0.252370
0.050830,0.248960
0.051670,0.245690
0.052500,0.242640
0.053330,0.239600
0.054170,0.236730
0.055000,0.234120
0.055830,0.231510
0.056670,0.229040
0.057500,0.227000
0.058330,0.224970
0.059170,0.223250
0.060000,0.221890
0.060830,0.220510
0.061670,0.219600
0.062500,0.218780
0.063330,0.217960
0.064170,0.217490
0.065000,0.216970
0.065830,0.216450
0.066670,0.216040
0.067500,0.215670
0.068330,0.215300
0.069170,0.215050
0.070000,0.214770
0.070830,0.214480
0.071670,0.214200
0.072500,0.213960
0.073330,0.213730
0.074170,0.213570
0.075000,0.213370
0.075830,0.213170
0.076670,0.212940
0.077500,0.212760
0.078330,0.212580
0.079170,0.212430
0.080000,0.212260
0.080830,0.212100
0.081670,0.211930
0.082500,0.211760
0.083330,0.211590
0.084170,0.211410
0.085000,0.211260
0.085830,0.211110
0.086670,0.211010
0.087500,0.210860
0.088330,0.210700
0.089170,0.210520
0.090000,0.210360
0.090830,0.210190
0.091670,0.210020
0.092500,0.209860
0.093330,0.209680
