# OCP of LCO (cathode) vs Li/Li+ digitized from https://real.hanyang.ac.kr/materials
# sto,ocp
0.245000,4.609530
0.245830,4.608680
0.246670,4.607810
0.247500,4.606980
0.248330,4.606140
0.249170,4.605350
0.250000,4.604530
0.250830,4.603710
0.251670,4.602920
0.252500,4.602090
0.253330,4.601250
0.254170,4.600370
0.255000,4.599540
0.255830,4.598700
0.256670,4.597930
0.257500,4.597090
0.258330,4.596260
0.259170,4.595380
0.260000,4.594550
0.260830,4.593710
0.261670,4.592920
0.262500,4.592100
0.263330,4.591280
0.264170,4.590490
0.265000,4.589650
0.265830,4.588820
0.266670,4.587940
0.267500,4.587110
0.268330,4.586270
0.269170,4.585500
0.270000,4.584660
0.270830,4.583830
0.271670,4.582950
0.272500,4.582110
0.273330,4.581280
0.274170,4.580500
0.275000,4.579670
0.275830,4.578830
0.276670,4.577970
0.277500,4.577120
0.278330,4.576270
0.279170,4.575410
0.280000,4.574570
0.280830,4.573740
0.281670,4.572960
0.282500,4.572130
0.283330,4.571290
0.284170,4.570430
0.285000,4.569580
0.285830,4.568730
0.286670,4.567880
0.287500,4.567030
0.288330,4.566180
0.289170,4.565330
0.290000,4.564480
0.290830,4.563630
0.291670,4.562780
0.292500,4.561930
0.293330,4.561080
0.294170,4.560240
0.295000,4.559390
0.295830,4.558540
0.296670,4.557690
0.297500,4.556840
0.298330,4.555990
0.299170,4.555150
0.300000,4.554290
0.300830,4.553430
0.301670,4.552500
0.302500,4.551640
0.303330,4.550780
0.304170,4.549960
0.305000,4.549090
0.305830,4.548230
0.306670,4.547300
0.307500,4.546440
0.308330,4.545580
0.309170,4.544760
0.310000,4.543890
0.310830,4.543030
0.311670,4.542120
0.312500,4.541240
0.313330,4.540360
0.314170,4.539470
0.315000,4.538590
0.315830,4.537710
0.316670,4.536850
0.317500,4.535940
0.318330,4.535050
0.319170,4.534100
0.320000,4.533190
0.320830,4.532300
0.321670,4.531450
0.322500,4.530540
0.323330,4.529640
0.324170,4.528690
0.325000,4.527780
0.325830,4.526890
0.326670,4.526040
0.327500,4.525130
0.328330,4.524240
0.329170,4.523300
0.330000,4.522380
0.330830,4.521470
0.331670,4.520570
0.332500,4.519630
0.333330,4.518710
0.334170,4.517710
0.335000,4.516790
0.335830,4.515850
0.336670,4.514960
0.337500,4.514030
0.338330,4.513100
0.339170,4.512130
0.340000,4.511180
0.340830,4.510230
0.341670,4.509280
0.342500,4.508320
0.343330,4.507370
0.344170,4.506420
0.345000,4.505470
0.345830,4.504520
0.346670,4.503580
0.347500,4.502610
0.348330,4.501650
0.349170,4.500650
0.350000,4.499650
0.350830,4.498670
0.351670,4.497690
0.352500,4.496700
0.353330,4.495710
0.354170,4.494730
0.355000,4.493750
0.355830,4.492760
0.356670,4.491790
0.357500,4.490790
0.358330,4.489780
0.359170,4.488760
0.360000,4.487730
0.360830,4.486710
0.361670,4.485700
0.362500,4.484670
0.363330,4.483660
0.364170,4.482650
0.365000,4.481610
0.365830,4.480590
0.366670,4.479520
0.367500,4.478460
0.368330,4.477410
0.369170,4.476360
0.370000,4.475300
0.370830,4.474250
0.371670,4.473210
0.372500,4.472140
0.373330,4.471070
0.374170,4.469970
0.375000,4.468870
0.375830,4.467790
0.376670,4.466710
0.377500,4.465620
0.378330,4.464520
0.379170,4.463450
0.380000,4.462360
0.380830,4.461260
0.381670,4.460120
0.382500,4.458990
0.383330,4.457880
0.384170,4.456760
0.385000,4.455630
0.385830,4.454490
0.386670,4.453320
0.387500,4.452160
0.388330,4.451010
0.389170,4.449870
0.390000,4.448690
0.390830,4.447520
0.391670,4.446320
0.392500,4.445140
0.393330,4.443930
0.394170,4.442750
0.395000,4.441560
0.395830,4.440380
0.396670,4.439220
0.397500,4.437990
0.398330,4.436770
0.399170,4.435470
0.400000,4.434230
0.400830,4.432980
0.401670,4.431810
0.402500,4.430550
0.403330,4.429310
0.404170,4.427960
0.405000,4.426680
0.405830,4.425410
0.406670,4.424210
0.407500,4.422910
0.408330,4.421620
0.409170,4.420260
0.410000,4.418940
0.410830,4.417600
0.411670,4.416300
0.412500,4.414970
0.413330,4.413620
0.414170,4.412250
0.415000,4.410880
0.415830,4.409520
0.416670,4.408190
0.417500,4.406810
0.418330,4.405440
0.419170,4.404040
0.420000,4.402620
0.420830,4.401220
0.421670,4.399770
0.422500,4.398350
0.423330,4.396930
0.424170,4.395520
0.425000,4.394070
0.425830,4.392610
0.426670,4.391060
0.427500,4.389580
0.428330,4.388110
0.429170,4.386690
0.430000,4.385200
0.430830,4.383700
0.431670,4.382140
0.432500,4.380610
0.433330,4.379090
0.434170,4.377600
0.435000,4.376030
0.435830,4.374460
0.436670,4.372820
0.437500,4.371240
0.438330,4.369660
0.439170,4.368150
0.440000,4.366560
0.440830,4.364950
0.441670,4.363290
0.442500,4.361650
0.443330,4.360030
0.444170,4.358410
0.445000,4.356760
0.445830,4.355120
0.446670,4.353440
0.447500,4.351770
0.448330,4.350110
0.449170,4.348460
0.450000,4.346770
0.450830,4.345090
0.451670,4.343390
0.452500,4.341680
0.453330,4.339960
0.454170,4.338220
0.455000,4.336480
0.455830,4.334750
0.456670,4.333020
0.457500,4.331280
0.458330,4.329550
0.459170,4.327820
0.460000,4.326080
0.460830,4.324350
0.461670,4.322640
0.462500,4.320880
0.463330,4.319140
0.464170,4.317340
0.465000,4.315600
0.465830,4.313840
0.466670,4.312140
0.467500,4.310400
0.468330,4.308640
0.469170,4.306840
0.470000,4.305100
0.470830,4.303340
0.471670,4.301630
0.472500,4.299900
0.473330,4.298160
0.474170,4.296410
0.475000,4.294700
0.475830,4.292990
0.476670,4.291300
0.477500,4.289600
0.478330,4.287900
0.479170,4.286190
0.480000,4.284510
0.480830,4.282820
0.481670,4.281170
0.482500,4.279510
0.483330,4.277840
0.484170,4.276160
0.485000,4.274520
0.485830,4.272870
0.486670,4.271240
0.487500,4.269630
0.488330,4.268000
0.489170,4.266410
0.490000,4.264830
0.490830,4.263260
0.491670,4.261690
0.492500,4.260140
0.493330,4.258600
0.494170,4.257080
0.495000,4.255560
0.495830,4.254030
0.496670,4.252470
0.497500,4.250970
0.498330,4.249480
0.499170,4.248040
0.500000,4.246590
0.500830,4.245130
0.501670,4.243650
0.502500,4.242200
0.503330,4.240770
0.504170,4.239320
0.505000,4.237930
0.505830,4.236530
0.506670,4.235200
0.507500,4.233850
0.508330,4.232490
0.509170,4.231130
0.510000,4.229770
0.510830,4.228410
0.511670,4.227020
0.512500,4.225700
0.513330,4.224370
0.514170,4.223110
0.515000,4.221820
0.515830,4.220530
0.516670,4.219210
0.517500,4.217950
0.518330,4.216690
0.519170,4.215520
0.520000,4.214280
0.520830,4.213050
0.521670,4.211730
0.522500,4.210510
0.523330,4.209280
0.524170,4.208130
0.525000,4.206940
0.525830,4.205750
0.526670,4.204570
0.527500,4.203380
0.528330,4.202180
0.529170,4.200960
0.530000,4.199810
0.530830,4.198650
0.531670,4.197580
0.532500,4.196440
0.533330,4.195310
0.534170,4.194100
0.535000,4.192980
0.535830,4.191860
0.536670,4.190820
0.537500,4.189720
0.538330,4.188620
0.539170,4.187460
0.540000,4.186350
0.540830,4.185250
0.541670,4.184170
0.542500,4.183100
0.543330,4.182020
0.544170,4.180990
0.545000,4.179940
0.545830,4.178880
0.546670,4.177830
0.547500,4.176770
0.548330,4.175720
0.549170,4.174660
0.550000,4.173610
0.550830,4.172560
0.551670,4.171490
0.552500,4.170450
0.553330,4.169420
0.554170,4.168410
0.555000,4.167400
0.555830,4.166380
0.556670,4.165350
0.557500,4.164340
0.558330,4.163320
0.559170,4.162290
0.560000,4.161280
0.560830,4.160280
0.561670,4.159330
0.562500,4.158320
0.563330,4.157330
0.564170,4.156270
0.565000,4.155260
0.565830,4.154270
0.566670,4.153300
0.567500,4.152320
0.568330,4.151320
0.569170,4.150360
0.570000,4.149360
0.570830,4.148350
0.571670,4.147300
0.572500,4.146300
0.573330,4.145300
0.574170,4.144320
0.575000,4.143340
0.575830,4.142360
0.576670,4.141380
0.577500,4.140380
0.578330,4.139400
0.579170,4.138420
0.580000,4.137430
0.580830,4.136440
0.581670,4.135460
0.582500,4.134480
0.583330,4.133490
0.584170,4.132510
0.585000,4.131520
0.585830,4.130530
0.586670,4.129550
0.587500,4.128570
0.588330,4.127580
0.589170,4.126590
0.590000,4.125610
0.590830,4.124630
0.591670,4.123650
0.592500,4.122650
0.593330,4.121670
0.594170,4.120700
0.595000,4.119690
0.595830,4.118700
0.596670,4.117660
0.597500,4.116650
