# OCP of LFP (cathode) vs Li/Li+ digitized from https://real.hanyang.ac.kr/materials
# sto,ocp
0.060000,4.021230
0.060830,4.009580
0.061670,3.997930
0.062500,3.985130
0.063330,3.972320
0.064170,3.959190
0.065000,3.944410
0.065830,3.929630
0.066670,3.914510
0.067500,3.896470
0.068330,3.878440
0.069170,3.858750
0.070000,3.836200
0.070830,3.813660
0.071670,3.782880
0.072500,3.761190
0.073330,3.739490
0.074170,3.721040
0.075000,3.706030
0.075830,3.691020
0.076670,3.681690
0.077500,3.671120
0.078330,3.660560
0.079170,3.651730
0.080000,3.642650
0.080830,3.633560
0.081670,3.624980
0.082500,3.616580
0.083330,3.608160
0.084170,3.600280
0.085000,3.592200
0.085830,3.584130
0.086670,3.576460
0.087500,3.568130
0.088330,3.559800
0.089170,3.550660
0.090000,3.542260
0.090830,3.533860
0.091670,3.524610
0.092500,3.517680
0.093330,3.510770
0.094170,3.505220
0.095000,3.500740
0.095830,3.496250
0.096670,3.493520
0.097500,3.490810
0.098330,3.488100
0.099170,3.486320
0.100000,3.484500
0.100830,3.482670
0.101670,3.481280
0.102500,3.479870
0.103330,3.478480
0.104170,3.477260
0.105000,3.476070
0.105830,3.474880
0.106670,3.473800
0.107500,3.472760
0.108330,3.471720
0.109170,3.470800
0.110000,3.469860
0.110830,3.468900
0.111670,3.467940
0.112500,3.467040
0.113330,3.466140
0.114170,3.465290
0.115000,3.464440
0.115830,3.463590
0.116670,3.462770
0.117500,3.461930
0.118330,3.461100
0.119170,3.460280
0.120000,3.459420
0.120830,3.458570
0.121670,3.457690
0.122500,3.456810
0.123330,3.455930
0.124170,3.455010
0.125000,3.454110
0.125830,3.453200
0.126670,3.452310
0.127500,3.451400
0.128330,3.450480
0.129170,3.449430
0.130000,3.448590
0.130830,3.447760
0.131670,3.447020
0.132500,3.446390
0.133330,3.445750
0.134170,3.445200
0.135000,3.444770
0.135830,3.444360
0.136670,3.444160
0.137500,3.443870
0.138330,3.443600
0.139170,3.443290
0.140000,3.443080
0.140830,3.442860
0.141670,3.442740
0.142500,3.442570
0.143330,3.442410
0.144170,3.442230
0.145000,3.442080
0.145830,3.441930
0.146670,3.441790
0.147500,3.441670
0.148330,3.441560
0.149170,3.441460
0.150000,3.441370
0.150830,3.441270
0.151670,3.441160
0.152500,3.441070
0.153330,3.440970
0.154170,3.440870
0.155000,3.440760
0.155830,3.440670
0.156670,3.440550
0.157500,3.440460
0.158330,3.440380
0.159170,3.440330
0.160000,3.440270
0.160830,3.440200
0.161670,3.440130
0.162500,3.440070
0.163330,3.440000
0.164170,3.439930
0.165000,3.439860
0.165830,3.439790
0.166670,3.439740
0.167500,3.439670
0.168330,3.439600
0.169170,3.439530
0.170000,3.439460
0.170830,3.439400
0.171670,3.439310
0.172500,3.439260
0.173330,3.439220
0.174170,3.439220
0.175000,3.439160
0.175830,3.439110
0.176670,3.439010
0.177500,3.438960
0.178330,3.438920
0.179170,3.438920
0.180000,3.438860
0.180830,3.438810
0.181670,3.438710
0.182500,3.438660
0.183330,3.438610
0.184170,3.438610
0.185000,3.438560
0.185830,3.438510
0.186670,3.438410
0.187500,3.438360
0.188330,3.438310
0.189170,3.438290
0.190000,3.438260
0.190830,3.438230
0.191670,3.438190
0.192500,3.438160
0.193330,3.438120
0.194170,3.438110
0.195000,3.438060
0.195830,3.438010
0.196670,3.437910
0.197500,3.437860
0.198330,3.437810
0.199170,3.437790
0.200000,3.437760
0.200830,3.437730
0.201670,3.437700
0.202500,3.437660
0.203330,3.437630
0.204170,3.437590
0.205000,3.437560
0.205830,3.437520
0.206670,3.437490
0.207500,3.437450
0.208330,3.437420
0.209170,3.437400
0.210000,3.437360
0.210830,3.437330
0.211670,3.437290
0.212500,3.437260
0.213330,3.437220
0.214170,3.437190
0.215000,3.437150
0.215830,3.437120
0.216670,3.437080
0.217500,3.437060
0.218330,3.437030
0.219170,3.436990
0.220000,3.436960
0.220830,3.436920
0.221670,3.436890
0.222500,3.436850
0.223330,3.436820
0.224170,3.436780
0.225000,3.436760
0.225830,3.436730
0.226670,3.436690
0.227500,3.436660
0.228330,3.436620
0.229170,3.436550
0.230000,3.436550
0.230830,3.436550
0.231670,3.436550
0.232500,3.436550
0.233330,3.436550
0.234170,3.436480
0.235000,3.436450
0.235830,3.436430
0.236670,3.436390
0.237500,3.436360
0.238330,3.436320
0.239170,3.436290
0.240000,3.436250
0.240830,3.436220
0.241670,3.436150
0.242500,3.436150
0.243330,3.436150
0.244170,3.436150
0.245000,3.436150
0.245830,3.436150
0.246670,3.436080
0.247500,3.436060
0.248330,3.436020
0.249170,3.435990
0.250000,3.435950
0.250830,3.435920
0.251670,3.435890
0.252500,3.435850
0.253330,3.435820
0.254170,3.435750
0.255000,3.435750
0.255830,3.435750
0.256670,3.435750
0.257500,3.435750
0.258330,3.435750
0.259170,3.435690
0.260000,3.435650
0.260830,3.435620
0.261670,3.435550
0.262500,3.435550
0.263330,3.435550
0.264170,3.435550
0.265000,3.435550
0.265830,3.435550
0.266670,3.435480
0.267500,3.435450
0.268330,3.435420
0.269170,3.435360
0.270000,3.435360
0.270830,3.435360
0.271670,3.435360
0.272500,3.435360
0.273330,3.435360
0.274170,3.435290
0.275000,3.435250
0.275830,3.435220
0.276670,3.435150
0.277500,3.435150
0.278330,3.435150
0.279170,3.435150
0.280000,3.435150
0.280830,3.435150
0.281670,3.435090
0.282500,3.435060
0.283330,3.435020
0.284170,3.434950
0.285000,3.434950
0.285830,3.434950
0.286670,3.434950
0.287500,3.434950
0.288330,3.434950
0.289170,3.434880
0.290000,3.434850
0.290830,3.434810
0.291670,3.434740
0.292500,3.434740
0.293330,3.434740
0.294170,3.434740
0.295000,3.434740
0.295830,3.434740
0.296670,3.434650
0.297500,3.434650
0.298330,3.434650
0.299170,3.434650
0.300000,3.434650
0.300830,3.434650
0.301670,3.434580
0.302500,3.434550
0.303330,3.434510
0.304170,3.434440
0.305000,3.434440
0.305830,3.434440
0.306670,3.434440
0.307500,3.434440
0.308330,3.434440
0.309170,3.434350
0.310000,3.434350
0.310830,3.434350
0.311670,3.434350
0.312500,3.434350
0.313330,3.434350
0.314170,3.434250
0.315000,3.434250
0.315830,3.434250
0.316670,3.434250
0.317500,3.434250
0.318330,3.434250
0.319170,3.434180
0.320000,3.434140
0.320830,3.434110
0.321670,3.434050
0.322500,3.434050
0.323330,3.434050
0.324170,3.434050
0.325000,3.434050
0.325830,3.434050
0.326670,3.433950
0.327500,3.433950
0.328330,3.433950
0.329170,3.433950
0.330000,3.433950
0.330830,3.433950
0.331670,3.433840
0.332500,3.433840
0.333330,3.433840
0.334170,3.433840
0.335000,3.433840
0.335830,3.433840
0.336670,3.433750
0.337500,3.433750
0.338330,3.433750
0.339170,3.433750
0.340000,3.433750
0.340830,3.433750
0.341670,3.433650
0.342500,3.433650
0.343330,3.433650
0.344170,3.433650
