# OCP of LMO (cathode) vs Li/Li+ digitized from https://real.hanyang.ac.kr/materials
# sto,ocp
0.200000,4.179040
0.200830,4.177160
0.201670,4.175280
0.202500,4.173520
0.203330,4.171770
0.204170,4.170120
0.205000,4.168510
0.205830,4.166910
0.206670,4.165360
0.207500,4.163900
0.208330,4.162450
0.209170,4.161100
0.210000,4.159790
0.210830,4.158480
0.211670,4.157270
0.212500,4.156080
0.213330,4.154900
0.214170,4.153740
0.215000,4.152680
0.215830,4.151600
0.216670,4.150640
0.217500,4.149670
0.218330,4.148690
0.219170,4.147740
0.220000,4.146860
0.220830,4.145970
0.221670,4.145160
0.222500,4.144350
0.223330,4.143550
0.224170,4.142780
0.225000,4.142040
0.225830,4.141310
0.226670,4.140590
0.227500,4.139940
0.228330,4.139290
0.229170,4.138720
0.230000,4.138140
0.230830,4.137550
0.231670,4.136980
0.232500,4.136430
0.233330,4.135880
0.234170,4.135330
0.235000,4.134830
0.235830,4.134330
0.236670,4.133860
0.237500,4.133420
0.238330,4.132990
0.239170,4.132620
0.240000,4.132220
0.240830,4.131820
0.241670,4.131400
0.242500,4.131010
0.243330,4.130630
0.244170,4.130250
0.245000,4.129910
0.245830,4.129580
0.246670,4.129310
0.247500,4.129010
0.248330,4.128710
0.249170,4.128390
0.250000,4.128110
0.250830,4.127830
0.251670,4.127560
0.252500,4.127310
0.253330,4.127060
0.254170,4.126840
0.255000,4.126610
0.255830,4.126370
0.256670,4.126120
0.257500,4.125900
0.258330,4.125680
0.259170,4.125480
0.260000,4.125300
0.260830,4.125120
0.261670,4.124960
0.262500,4.124800
0.263330,4.124630
0.264170,4.124460
0.265000,4.124300
0.265830,4.124130
0.266670,4.123940
0.267500,4.123800
0.268330,4.123640
0.269170,4.123530
0.270000,4.123390
0.270830,4.123260
0.271670,4.123110
0.272500,4.122990
0.273330,4.122870
0.274170,4.122810
0.275000,4.122690
0.275830,4.122580
0.276670,4.122410
0.277500,4.122290
0.278330,4.122170
0.279170,4.122090
0.280000,4.121990
0.280830,4.121890
0.281670,4.121770
0.282500,4.121690
0.283330,4.121610
0.284170,4.121580
0.285000,4.121490
0.285830,4.121400
0.286670,4.121270
0.287500,4.121190
0.288330,4.121110
0.289170,4.121060
0.290000,4.120990
0.290830,4.120920
0.291670,4.120860
0.292500,4.120790
0.293330,4.120720
0.294170,4.120650
0.295000,4.120590
0.295830,4.120520
0.296670,4.120430
0.297500,4.120380
0.298330,4.120340
0.299170,4.120340
0.300000,4.120290
0.300830,4.120240
0.301670,4.120130
0.302500,4.120090
0.303330,4.120040
0.304170,4.120040
0.305000,4.119990
0.305830,4.119930
0.306670,4.119840
0.307500,4.119790
0.308330,4.119730
0.309170,4.119730
0.310000,4.119680
0.310830,4.119630
0.311670,4.119540
0.312500,4.119480
0.313330,4.119430
0.314170,4.119410
0.315000,4.119380
0.315830,4.119350
0.316670,4.119320
0.317500,4.119290
0.318330,4.119250
0.319170,4.119220
0.320000,4.119180
0.320830,4.119150
0.321670,4.119110
0.322500,4.119090
0.323330,4.119050
0.324170,4.119020
0.325000,4.118980
0.325830,4.118950
0.326670,4.118910
0.327500,4.118880
0.328330,4.118850
0.329170,4.118820
0.330000,4.118780
0.330830,4.118750
0.331670,4.118710
0.332500,4.118680
0.333330,4.118650
0.334170,4.118610
0.335000,4.118590
0.335830,4.118550
0.336670,4.118520
0.337500,4.118480
0.338330,4.118450
0.339170,4.118410
0.340000,4.118380
0.340830,4.118350
0.341670,4.118320
0.342500,4.118280
0.343330,4.118250
0.344170,4.118210
0.345000,4.118180
0.345830,4.118140
0.346670,4.118080
0.347500,4.118080
0.348330,4.118080
0.349170,4.118080
0.350000,4.118080
0.350830,4.118080
0.351670,4.118010
0.352500,4.117980
0.353330,4.117950
0.354170,4.117910
0.355000,4.117880
0.355830,4.117850
0.356670,4.117820
0.357500,4.117780
0.358330,4.117750
0.359170,4.117710
0.360000,4.117680
0.360830,4.117640
0.361670,4.117610
0.362500,4.117580
0.363330,4.117550
0.364170,4.117480
0.365000,4.117480
0.365830,4.117480
0.366670,4.117480
0.367500,4.117480
0.368330,4.117480
0.369170,4.117410
0.370000,4.117370
0.370830,4.117350
0.371670,4.117310
0.372500,4.117280
0.373330,4.117250
0.374170,4.117210
0.375000,4.117180
0.375830,4.117140
0.376670,4.117110
0.377500,4.117080
0.378330,4.117050
0.379170,4.117010
0.380000,4.116980
0.380830,4.116940
0.381670,4.116910
0.382500,4.116870
0.383330,4.116850
0.384170,4.116810
0.385000,4.116780
0.385830,4.116740
0.386670,4.116710
0.387500,4.116670
0.388330,4.116640
0.389170,4.116610
0.390000,4.116580
0.390830,4.116550
0.391670,4.116510
0.392500,4.116480
0.393330,4.116440
0.394170,4.116410
0.395000,4.116370
0.395830,4.116350
0.396670,4.116310
0.397500,4.116280
0.398330,4.116240
0.399170,4.116210
0.400000,4.116170
0.400830,4.116140
0.401670,4.116100
0.402500,4.116080
0.403330,4.116040
0.404170,4.116010
0.405000,4.115970
0.405830,4.115940
0.406670,4.115910
0.407500,4.115870
0.408330,4.115850
0.409170,4.115810
0.410000,4.115780
0.410830,4.115740
0.411670,4.115720
0.412500,4.115670
0.413330,4.115620
0.414170,4.115530
0.415000,4.115470
0.415830,4.115420
0.416670,4.115400
0.417500,4.115370
0.418330,4.115340
0.419170,4.115310
0.420000,4.115270
0.420830,4.115240
0.421670,4.115220
0.422500,4.115170
0.423330,4.115120
0.424170,4.115020
0.425000,4.114970
0.425830,4.114920
0.426670,4.114920
0.427500,4.114870
0.428330,4.114830
0.429170,4.114720
0.430000,4.114670
0.430830,4.114620
0.431670,4.114620
0.432500,4.114570
0.433330,4.114520
0.434170,4.114440
0.435000,4.114370
0.435830,4.114310
0.436670,4.114220
0.437500,4.114170
0.438330,4.114120
0.439170,4.114120
0.440000,4.114070
0.440830,4.114020
0.441670,4.113930
0.442500,4.113870
0.443330,4.113810
0.444170,4.113740
0.445000,4.113670
0.445830,4.113600
0.446670,4.113540
0.447500,4.113470
0.448330,4.113400
0.449170,4.113340
0.450000,4.113270
0.450830,4.113200
0.451670,4.113150
0.452500,4.113070
0.453330,4.112980
0.454170,4.112850
0.455000,4.112770
0.455830,4.112680
0.456670,4.112650
0.457500,4.112570
0.458330,4.112480
0.459170,4.112340
0.460000,4.112270
0.460830,4.112180
0.461670,4.112150
0.462500,4.112070
0.463330,4.111980
0.464170,4.111860
0.465000,4.111770
0.465830,4.111660
0.466670,4.111570
0.467500,4.111460
0.468330,4.111360
0.469170,4.111260
0.470000,4.111160
0.470830,4.111070
0.471670,4.110960
0.472500,4.110860
0.473330,4.110760
0.474170,4.110680
0.475000,4.110560
0.475830,4.110440
0.476670,4.110300
0.477500,4.110160
0.478330,4.110030
0.479170,4.109890
0.480000,4.109760
0.480830,4.109620
0.481670,4.109490
0.482500,4.109350
0.483330,4.109220
0.484170,4.109090
0.485000,4.108960
0.485830,4.108830
0.486670,4.108710
0.487500,4.108560
0.488330,4.108400
0.489170,4.108220
0.490000,4.108060
0.490830,4.107880
0.491670,4.107720
0.492500,4.107560
0.493330,4.107380
0.494170,4.107240
0.495000,4.107050
0.495830,4.106860
0.496670,4.106630
0.497500,4.106450
0.498330,4.106270
0.499170,4.106150
0.500000,4.105950
0.500830,4.105750
0.501670,4.105460
0.502500,4.105250
0.503330,4.105030
0.504170,4.104860
0.505000,4.104640
0.505830,4.104430
0.506670,4.104180
0.507500,4.103940
0.508330,4.103710
0.509170,4.103490
0.510000,4.103240
0.510830,4.102990
0.511670,4.102710
0.512500,4.102440
0.513330,4.102170
0.514170,4.101900
0.515000,4.101630
