# OCP of LNMO (cathode) vs Li/Li+ digitized from https://real.hanyang.ac.kr/materials
# sto,ocp
0.037500,4.755900
0.038330,4.754030
0.039170,4.752180
0.040000,4.750890
0.040830,4.749600
0.041670,4.748960
0.042500,4.748180
0.043330,4.747390
0.044170,4.746760
0.045000,4.746170
0.045830,4.745580
0.046670,4.745140
0.047500,4.744670
0.048330,4.744200
0.049170,4.743750
0.050000,4.743370
0.050830,4.742980
0.051670,4.742670
0.052500,4.742370
0.053330,4.742070
0.054170,4.741820
0.055000,4.741560
0.055830,4.741310
0.056670,4.741080
0.057500,4.740860
0.058330,4.740640
0.059170,4.740450
0.060000,4.740260
0.060830,4.740050
0.061670,4.739820
0.062500,4.739660
0.063330,4.739490
0.064170,4.739380
0.065000,4.739260
0.065830,4.739120
0.066670,4.738970
0.067500,4.738850
0.068330,4.738740
0.069170,4.738660
0.070000,4.738550
0.070830,4.738450
0.071670,4.738330
0.072500,4.738250
0.073330,4.738170
0.074170,4.738110
0.075000,4.738050
0.075830,4.737990
0.076670,4.737920
0.077500,4.737850
0.078330,4.737780
0.079170,4.737700
0.080000,4.737650
0.080830,4.737600
0.081670,4.737600
0.082500,4.737550
0.083330,4.737500
0.084170,4.737400
0.085000,4.737350
0.085830,4.737300
0.086670,4.737280
0.087500,4.737250
0.088330,4.737220
0.089170,4.737180
0.090000,4.737150
0.090830,4.737110
0.091670,4.737080
0.092500,4.737050
0.093330,4.737020
0.094170,4.736990
0.095000,4.736950
0.095830,4.736920
0.096670,4.736880
0.097500,4.736850
0.098330,4.736810
0.099170,4.736780
0.100000,4.736740
0.100830,4.736720
0.101670,4.736690
0.102500,4.736650
0.103330,4.736620
0.104170,4.736580
0.105000,4.736550
0.105830,4.736510
0.106670,4.736440
0.107500,4.736440
0.108330,4.736440
0.109170,4.736440
0.110000,4.736440
0.110830,4.736440
0.111670,4.736390
0.112500,4.736350
0.113330,4.736320
0.114170,4.736250
0.115000,4.736250
0.115830,4.736250
0.116670,4.736250
0.117500,4.736250
0.118330,4.736250
0.119170,4.736140
0.120000,4.736140
0.120830,4.736140
0.121670,4.736140
0.122500,4.736140
0.123330,4.736140
0.124170,4.736070
0.125000,4.736040
0.125830,4.736020
0.126670,4.735950
0.127500,4.735950
0.128330,4.735950
0.129170,4.735950
0.130000,4.735950
0.130830,4.735950
0.131670,4.735840
0.132500,4.735840
0.133330,4.735840
0.134170,4.735840
0.135000,4.735840
0.135830,4.735840
0.136670,4.735740
0.137500,4.735740
0.138330,4.735740
0.139170,4.735740
0.140000,4.735740
0.140830,4.735740
0.141670,4.735650
0.142500,4.735650
0.143330,4.735650
0.144170,4.735650
0.145000,4.735650
0.145830,4.735650
0.146670,4.735650
0.147500,4.735650
0.148330,4.735650
0.149170,4.735540
0.150000,4.735540
0.150830,4.735540
0.151670,4.735540
0.152500,4.735540
0.153330,4.735540
0.154170,4.735440
0.155000,4.735440
0.155830,4.735440
0.156670,4.735440
0.157500,4.735440
0.158330,4.735440
0.159170,4.735350
0.160000,4.735350
0.160830,4.735350
0.161670,4.735350
0.162500,4.735350
0.163330,4.735350
0.164170,4.735350
0.165000,4.735350
0.165830,4.735350
0.166670,4.735240
0.167500,4.735240
0.168330,4.735240
0.169170,4.735240
0.170000,4.735240
0.170830,4.735240
0.171670,4.735240
0.172500,4.735240
0.173330,4.735240
0.174170,4.735140
0.175000,4.735140
0.175830,4.735140
0.176670,4.735140
0.177500,4.735140
0.178330,4.735140
0.179170,4.735140
0.180000,4.735140
0.180830,4.735140
0.181670,4.735040
0.182500,4.735040
0.183330,4.735040
0.184170,4.735040
