# OCP of LTO (anode) vs Li/Li+ digitized from https://real.hanyang.ac.kr/materials
# sto,ocp
0.017500,1.597950
0.018330,1.589740
0.019170,1.581530
0.020000,1.579800
0.020830,1.578060
0.021670,1.578010
0.022500,1.577190
0.023330,1.576370
0.024170,1.575600
0.025000,1.574880
0.025830,1.574160
0.026670,1.573480
0.027500,1.572880
0.028330,1.572280
0.029170,1.571540
0.030000,1.571270
0.030830,1.571000
0.031670,1.570870
0.032500,1.570870
0.033330,1.570870
0.034170,1.570870
0.035000,1.570870
0.035830,1.570870
0.036670,1.570870
0.037500,1.570870
0.038330,1.570870
0.039170,1.570870
0.040000,1.570870
0.040830,1.570870
0.041670,1.570870
0.042500,1.570870
0.043330,1.570870
0.044170,1.570870
0.045000,1.570870
0.045830,1.570870
0.046670,1.570870
0.047500,1.570870
0.048330,1.570870
0.049170,1.570870
0.050000,1.570870
0.050830,1.570870
0.051670,1.570870
0.052500,1.570870
0.053330,1.570870
0.054170,1.570870
0.055000,1.570870
0.055830,1.570870
0.056670,1.570870
0.057500,1.570870
0.058330,1.570870
0.059170,1.570870
0.060000,1.570870
0.060830,1.570870
0.061670,1.570870
0.062500,1.570870
0.063330,1.570870
0.064170,1.570870
0.065000,1.570870
0.065830,1.570870
0.066670,1.570870
0.067500,1.570870
0.068330,1.570870
0.069170,1.570870
0.070000,1.570870
0.070830,1.570870
0.071670,1.570870
0.072500,1.570870
0.073330,1.570870
0.074170,1.570870
0.075000,1.570870
0.075830,1.570870
0.076670,1.570870
0.077500,1.570870
0.078330,1.570870
0.079170,1.570870
0.080000,1.570870
0.080830,1.570870
0.081670,1.570870
0.082500,1.570870
0.083330,1.570870
0.084170,1.570870
0.085000,1.570870
0.085830,1.570870
0.086670,1.570870
0.087500,1.570870
0.088330,1.570870
0.089170,1.570870
0.090000,1.570870
0.090830,1.570870
0.091670,1.570870
0.092500,1.570870
0.093330,1.570870
0.094170,1.570870
0.095000,1.570870
0.095830,1.570870
0.096670,1.570870
0.097500,1.570870
0.098330,1.570870
0.099170,1.570870
0.100000,1.570870
0.100830,1.570870
0.101670,1.570870
0.102500,1.570870
0.103330,1.570870
0.104170,1.570870
0.105000,1.570870
0.105830,1.570870
0.106670,1.570870
0.107500,1.570870
0.108330,1.570870
0.109170,1.570870
0.110000,1.570870
0.110830,1.570870
0.111670,1.570870
0.112500,1.570870
0.113330,1.570870
0.114170,1.570870
0.115000,1.570870
0.115830,1.570870
0.116670,1.570870
0.117500,1.570870
0.118330,1.570870
0.119170,1.570870
0.120000,1.570870
0.120830,1.570870
0.121670,1.570870
0.122500,1.570870
0.123330,1.570870
0.124170,1.570870
0.125000,1.570870
0.125830,1.570870
0.126670,1.570870
0.127500,1.570870
0.128330,1.570870
0.129170,1.570870
0.130000,1.570870
0.130830,1.570870
0.131670,1.570870
0.132500,1.570870
0.133330,1.570870
0.134170,1.570870
0.135000,1.570870
0.135830,1.570870
0.136670,1.570870
0.137500,1.570870
0.138330,1.570870
0.139170,1.570870
0.140000,1.570870
0.140830,1.570870
0.141670,1.570870
0.142500,1.570870
0.143330,1.570870
0.144170,1.570870
0.145000,1.570870
0.145830,1.570870
0.146670,1.570870
0.147500,1.570870
0.148330,1.570870
0.149170,1.570870
0.150000,1.570870
0.150830,1.570870
0.151670,1.570870
0.152500,1.570870
0.153330,1.570870
0.154170,1.570870
0.155000,1.570870
0.155830,1.570870
0.156670,1.570870
0.157500,1.570870
0.158330,1.570870
0.159170,1.570870
0.160000,1.570870
0.160830,1.570870
0.161670,1.570870
0.162500,1.570870
0.163330,1.570870
0.164170,1.570870
0.165000,1.570870
0.165830,1.570870
0.166670,1.570870
0.167500,1.570870
0.168330,1.570870
0.169170,1.570870
0.170000,1.570870
0.170830,1.570870
0.171670,1.570870
0.172500,1.570870
0.173330,1.570870
0.174170,1.570870
0.175000,1.570870
0.175830,1.570870
0.176670,1.570870
0.177500,1.570870
0.178330,1.570870
0.179170,1.570870
0.180000,1.570870
0.180830,1.570870
0.181670,1.570870
0.182500,1.570870
0.183330,1.570870
0.184170,1.570870
0.185000,1.570870
0.185830,1.570870
0.186670,1.570870
0.187500,1.570870
0.188330,1.570870
0.189170,1.570870
0.190000,1.570870
0.190830,1.570870
0.191670,1.570870
0.192500,1.570870
0.193330,1.570870
0.194170,1.570870
0.195000,1.570870
0.195830,1.570870
0.196670,1.570870
0.197500,1.570870
0.198330,1.570870
0.199170,1.570870
0.200000,1.570870
0.200830,1.570870
0.201670,1.570870
0.202500,1.570870
0.203330,1.570870
0.204170,1.570870
0.205000,1.570870
0.205830,1.570870
0.206670,1.570870
0.207500,1.570870
0.208330,1.570870
0.209170,1.570870
0.210000,1.570870
0.210830,1.570870
0.211670,1.570870
0.212500,1.570870
0.213330,1.570870
0.214170,1.570870
0.215000,1.570870
0.215830,1.570870
0.216670,1.570870
0.217500,1.570870
0.218330,1.570870
0.219170,1.570870
0.220000,1.570870
0.220830,1.570870
0.221670,1.570870
0.222500,1.570870
0.223330,1.570870
0.224170,1.570870
0.225000,1.570870
0.225830,1.570870
0.226670,1.570870
0.227500,1.570870
0.228330,1.570870
0.229170,1.570870
0.230000,1.570870
0.230830,1.570870
0.231670,1.570870
0.232500,1.570870
0.233330,1.570870
0.234170,1.570870
0.235000,1.570870
0.235830,1.570870
0.236670,1.570870
0.237500,1.570870
0.238330,1.570870
0.239170,1.570870
0.240000,1.570870
0.240830,1.570870
0.241670,1.570870
0.242500,1.570870
0.243330,1.570870
0.244170,1.570870
0.245000,1.570870
0.245830,1.570870
0.246670,1.570870
0.247500,1.570870
0.248330,1.570870
0.249170,1.570870
0.250000,1.570870
0.250830,1.570870
0.251670,1.570870
0.252500,1.570870
0.253330,1.570870
0.254170,1.570870
0.255000,1.570870
0.255830,1.570870
0.256670,1.570870
0.257500,1.570870
0.258330,1.570870
0.259170,1.570870
0.260000,1.570870
