# OCP of NCA (cathode) vs Li/Li+ digitized from https://real.hanyang.ac.kr/materials
# sto,ocp
0.335000,4.230330
0.335830,4.228020
0.336670,4.225700
0.337500,4.223610
0.338330,4.221520
0.339170,4.219610
0.340000,4.217790
0.340830,4.215970
0.341670,4.214300
0.342500,4.212670
0.343330,4.211060
0.344170,4.209540
0.345000,4.208060
0.345830,4.206600
0.346670,4.205200
0.347500,4.203860
0.348330,4.202500
0.349170,4.201230
0.350000,4.199950
0.350830,4.198660
0.351670,4.197370
0.352500,4.196130
0.353330,4.194900
0.354170,4.193690
0.355000,4.192520
0.355830,4.191350
0.356670,4.190220
0.357500,4.189110
0.358330,4.188010
0.359170,4.186970
0.360000,4.185910
0.360830,4.184840
0.361670,4.183720
0.362500,4.182690
0.363330,4.181680
0.364170,4.180760
0.365000,4.179790
0.365830,4.178820
0.366670,4.177820
0.367500,4.176870
0.368330,4.175940
0.369170,4.175070
0.370000,4.174170
0.370830,4.173260
0.371670,4.172330
0.372500,4.171460
0.373330,4.170590
0.374170,4.169800
0.375000,4.168950
0.375830,4.168100
0.376670,4.167200
0.377500,4.166350
0.378330,4.165490
0.379170,4.164670
0.380000,4.163830
0.380830,4.163000
0.381670,4.162170
0.382500,4.161330
0.383330,4.160500
0.384170,4.159670
0.385000,4.158820
0.385830,4.157980
0.386670,4.157090
0.387500,4.156210
0.388330,4.155350
0.389170,4.154500
0.390000,4.153610
0.390830,4.152720
0.391670,4.151820
0.392500,4.150900
0.393330,4.149980
0.394170,4.149030
0.395000,4.148100
0.395830,4.147150
0.396670,4.146220
0.397500,4.145290
0.398330,4.144350
0.399170,4.143430
0.400000,4.142470
0.400830,4.141530
0.401670,4.140540
0.402500,4.139570
0.403330,4.138600
0.404170,4.137610
0.405000,4.136660
0.405830,4.135710
0.406670,4.134810
0.407500,4.133850
0.408330,4.132910
0.409170,4.131910
0.410000,4.130950
0.410830,4.129980
0.411670,4.129010
0.412500,4.128040
0.413330,4.127060
0.414170,4.126080
0.415000,4.125120
0.415830,4.124180
0.416670,4.123260
0.417500,4.122320
0.418330,4.121390
0.419170,4.120440
0.420000,4.119510
0.420830,4.118580
0.421670,4.117650
0.422500,4.116710
0.423330,4.115750
0.424170,4.114750
0.425000,4.113790
0.425830,4.112850
0.426670,4.111900
0.427500,4.110990
0.428330,4.110070
0.429170,4.109190
0.430000,4.108280
0.430830,4.107360
0.431670,4.106400
0.432500,4.105470
0.433330,4.104540
0.434170,4.103600
0.435000,4.102660
0.435830,4.101720
0.436670,4.100790
0.437500,4.099860
0.438330,4.098920
0.439170,4.097980
0.440000,4.097040
0.440830,4.096110
0.441670,4.095180
0.442500,4.094240
0.443330,4.093300
0.444170,4.092360
0.445000,4.091430
0.445830,4.090500
0.446670,4.089560
0.447500,4.088620
0.448330,4.087680
0.449170,4.086750
0.450000,4.085820
0.450830,4.084880
0.451670,4.083930
0.452500,4.083000
0.453330,4.082090
0.454170,4.081220
0.455000,4.080290
0.455830,4.079380
0.456670,4.078430
0.457500,4.077490
0.458330,4.076560
0.459170,4.075600
0.460000,4.074680
0.460830,4.073760
0.461670,4.072880
0.462500,4.071970
0.463330,4.071070
0.464170,4.070150
0.465000,4.069260
0.465830,4.068390
0.466670,4.067510
0.467500,4.066660
0.468330,4.065810
0.469170,4.064980
0.470000,4.064160
0.470830,4.063340
0.471670,4.062540
0.472500,4.061750
0.473330,4.060940
0.474170,4.060120
0.475000,4.059340
0.475830,4.058550
0.476670,4.057780
0.477500,4.057030
0.478330,4.056280
0.479170,4.055550
0.480000,4.054830
0.480830,4.054100
0.481670,4.053420
0.482500,4.052720
0.483330,4.052020
0.484170,4.051300
0.485000,4.050610
0.485830,4.049930
0.486670,4.049270
0.487500,4.048610
0.488330,4.047940
0.489170,4.047270
0.490000,4.046600
0.490830,4.045930
0.491670,4.045260
0.492500,4.044590
0.493330,4.043930
0.494170,4.043250
0.495000,4.042590
0.495830,4.041940
0.496670,4.041330
0.497500,4.040690
0.498330,4.040030
0.499170,4.039350
0.500000,4.038680
0.500830,4.038010
0.501670,4.037340
0.502500,4.036680
0.503330,4.036010
0.504170,4.035350
0.505000,4.034670
0.505830,4.033980
0.506670,4.033260
0.507500,4.032560
0.508330,4.031860
0.509170,4.031150
0.510000,4.030450
0.510830,4.029760
0.511670,4.029060
0.512500,4.028350
0.513330,4.027650
0.514170,4.026960
0.515000,4.026240
0.515830,4.025530
0.516670,4.024770
0.517500,4.024040
0.518330,4.023300
0.519170,4.022550
0.520000,4.021830
0.520830,4.021110
0.521670,4.020420
0.522500,4.019730
0.523330,4.019030
0.524170,4.018320
0.525000,4.017620
0.525830,4.016920
0.526670,4.016200
0.527500,4.015510
0.528330,4.014830
0.529170,4.014170
0.530000,4.013510
0.530830,4.012840
0.531670,4.012170
0.532500,4.011500
0.533330,4.010830
0.534170,4.010150
0.535000,4.009490
0.535830,4.008850
0.536670,4.008230
0.537500,4.007590
0.538330,4.006960
0.539170,4.006320
0.540000,4.005690
0.540830,4.005040
0.541670,4.004410
0.542500,4.003780
0.543330,4.003140
0.544170,4.002530
0.545000,4.001870
0.545830,4.001220
0.546670,4.000540
0.547500,3.999870
0.548330,3.999200
0.549170,3.998530
0.550000,3.997860
0.550830,3.997190
0.551670,3.996540
0.552500,3.995860
0.553330,3.995180
0.554170,3.994450
0.555000,3.993750
0.555830,3.993040
0.556670,3.992340
0.557500,3.991650
0.558330,3.990950
0.559170,3.990240
0.560000,3.989540
