# OCP of NMC622 (cathode) vs Li/Li+ digitized from https://real.hanyang.ac.kr/materials
# sto,ocp
0.322500,4.254600
0.323330,4.252550
0.324170,4.250480
0.325000,4.248480
0.325830,4.246470
0.326670,4.244500
0.327500,4.242560
0.328330,4.240630
0.329170,4.238750
0.330000,4.236850
0.330830,4.234940
0.331670,4.232990
0.332500,4.231130
0.333330,4.229270
0.334170,4.227520
0.335000,4.225710
0.335830,4.223910
0.336670,4.222090
0.337500,4.220310
0.338330,4.218510
0.339170,4.216720
0.340000,4.214980
0.340830,4.213250
0.341670,4.211580
0.342500,4.209870
0.343330,4.208170
0.344170,4.206450
0.345000,4.204750
0.345830,4.203070
0.346670,4.201400
0.347500,4.199740
0.348330,4.198090
0.349170,4.196470
0.350000,4.194830
0.350830,4.193190
0.351670,4.191520
0.352500,4.189910
0.353330,4.188310
0.354170,4.186780
0.355000,4.185200
0.355830,4.183610
0.356670,4.181950
0.357500,4.180390
0.358330,4.178820
0.359170,4.177310
0.360000,4.175780
0.360830,4.174230
0.361670,4.172700
0.362500,4.171160
0.363330,4.169620
0.364170,4.168060
0.365000,4.166540
0.365830,4.165020
0.366670,4.163530
0.367500,4.162030
0.368330,4.160520
0.369170,4.159030
0.370000,4.157520
0.370830,4.156020
0.371670,4.154500
0.372500,4.153010
0.373330,4.151520
0.374170,4.150070
0.375000,4.148590
0.375830,4.147120
0.376670,4.145650
0.377500,4.144180
0.378330,4.142720
0.379170,4.141240
0.380000,4.139760
0.380830,4.138300
0.381670,4.136810
0.382500,4.135360
0.383330,4.133910
0.384170,4.132500
0.385000,4.131050
0.385830,4.129590
0.386670,4.128090
0.387500,4.126630
0.388330,4.125180
0.389170,4.123750
0.390000,4.122320
0.390830,4.120880
0.391670,4.119460
0.392500,4.118010
0.393330,4.116550
0.394170,4.115050
0.395000,4.113600
0.395830,4.112140
0.396670,4.110720
0.397500,4.109290
0.398330,4.107850
0.399170,4.106430
0.400000,4.104970
0.400830,4.103510
0.401670,4.102010
0.402500,4.100560
0.403330,4.099110
0.404170,4.097700
0.405000,4.096250
0.405830,4.094800
0.406670,4.093310
0.407500,4.091830
0.408330,4.090360
0.409170,4.088890
0.410000,4.087420
0.410830,4.085940
0.411670,4.084480
0.412500,4.083000
0.413330,4.081540
0.414170,4.080090
0.415000,4.078590
0.415830,4.077100
0.416670,4.075570
0.417500,4.074080
0.418330,4.072590
0.419170,4.071150
0.420000,4.069670
0.420830,4.068180
0.421670,4.066660
0.422500,4.065160
0.423330,4.063650
0.424170,4.062150
0.425000,4.060640
0.425830,4.059140
0.426670,4.057660
0.427500,4.056130
0.428330,4.054610
0.429170,4.053030
0.430000,4.051510
0.430830,4.050000
0.431670,4.048530
0.432500,4.047000
0.433330,4.045480
0.434170,4.043930
0.435000,4.042390
0.435830,4.040850
0.436670,4.039320
0.437500,4.037780
0.438330,4.036240
0.439170,4.034700
0.440000,4.033160
0.440830,4.031630
0.441670,4.030090
0.442500,4.028550
0.443330,4.027020
0.444170,4.025470
0.445000,4.023940
0.445830,4.022400
0.446670,4.020860
0.447500,4.019330
0.448330,4.017780
0.449170,4.016250
0.450000,4.014720
0.450830,4.013170
0.451670,4.011620
0.452500,4.010090
0.453330,4.008570
0.454170,4.007110
0.455000,4.005590
0.455830,4.004060
0.456670,4.002500
0.457500,4.000980
0.458330,3.999450
0.459170,3.997970
0.460000,3.996460
0.460830,3.994960
0.461670,3.993450
0.462500,3.991950
0.463330,3.990440
0.464170,3.988920
0.465000,3.987430
0.465830,3.985940
0.466670,3.984490
0.467500,3.983020
0.468330,3.981550
0.469170,3.980070
0.470000,3.978610
0.470830,3.977150
0.471670,3.975750
0.472500,3.974290
0.473330,3.972840
0.474170,3.971320
0.475000,3.969890
0.475830,3.968450
0.476670,3.967100
0.477500,3.965670
0.478330,3.964250
0.479170,3.962770
0.480000,3.961360
0.480830,3.959940
0.481670,3.958560
0.482500,3.957150
0.483330,3.955740
0.484170,3.954320
0.485000,3.952930
0.485830,3.951550
0.486670,3.950200
0.487500,3.948830
0.488330,3.947450
0.489170,3.946060
0.490000,3.944710
0.490830,3.943360
0.491670,3.942040
0.492500,3.940700
0.493330,3.939360
0.494170,3.938010
0.495000,3.936690
0.495830,3.935360
0.496670,3.934080
0.497500,3.932780
0.498330,3.931480
0.499170,3.930180
0.500000,3.928860
0.500830,3.927560
0.501670,3.926240
0.502500,3.924950
0.503330,3.923660
0.504170,3.922420
0.505000,3.921140
0.505830,3.919870
0.506670,3.918590
0.507500,3.917330
0.508330,3.916080
0.509170,3.914840
0.510000,3.913620
0.510830,3.912400
0.511670,3.911240
0.512500,3.910010
0.513330,3.908790
0.514170,3.907520
0.515000,3.906300
0.515830,3.905080
0.516670,3.903880
0.517500,3.902690
0.518330,3.901510
0.519170,3.900350
0.520000,3.899180
0.520830,3.898010
0.521670,3.896830
0.522500,3.895670
0.523330,3.894520
0.524170,3.893390
0.525000,3.892260
0.525830,3.891120
0.526670,3.889990
0.527500,3.888850
0.528330,3.887710
0.529170,3.886560
0.530000,3.885440
0.530830,3.884320
0.531670,3.883210
0.532500,3.882130
0.533330,3.881050
0.534170,3.880000
0.535000,3.878920
0.535830,3.877850
0.536670,3.876780
0.537500,3.875710
0.538330,3.874650
0.539170,3.873550
0.540000,3.872500
0.540830,3.871460
0.541670,3.870430
0.542500,3.869390
0.543330,3.868350
0.544170,3.867310
0.545000,3.866290
0.545830,3.865260
0.546670,3.864260
0.547500,3.863280
0.548330,3.862290
0.549170,3.861360
0.550000,3.860370
0.550830,3.859390
0.551670,3.858350
0.552500,3.857360
0.553330,3.856380
0.554170,3.855410
0.555000,3.854450
0.555830,3.853500
0.556670,3.852580
0.557500,3.851640
0.558330,3.850710
0.559170,3.849760
0.560000,3.848840
0.560830,3.847920
0.561670,3.847030
0.562500,3.846130
0.563330,3.845230
0.564170,3.844320
0.565000,3.843420
0.565830,3.842520
0.566670,3.841600
0.567500,3.840710
0.568330,3.839820
0.569170,3.838970
0.570000,3.838110
0.570830,3.837240
0.571670,3.836370
0.572500,3.835500
0.573330,3.834630
0.574170,3.833740
0.575000,3.832880
0.575830,3.832040
0.576670,3.831210
0.577500,3.830380
0.578330,3.829540
0.579170,3.828700
0.580000,3.827870
0.580830,3.827050
0.581670,3.826270
0.582500,3.825470
0.583330,3.824670
0.584170,3.823870
0.585000,3.823060
0.585830,3.822260
0.586670,3.821460
0.587500,3.820650
0.588330,3.819850
0.589170,3.819030
0.590000,3.818250
0.590830,3.817460
0.591670,3.816710
0.592500,3.815940
0.593330,3.815180
0.594170,3.814410
0.595000,3.813630
0.595830,3.812860
0.596670,3.812100
0.597500,3.811330
0.598330,3.810560
0.599170,3.809770
0.600000,3.809020
0.600830,3.808270
0.601670,3.807550
0.602500,3.806810
0.603330,3.806080
0.604170,3.805350
0.605000,3.804610
0.605830,3.803870
0.606670,3.803130
0.607500,3.802410
0.608330,3.801670
0.609170,3.800920
0.610000,3.800190
0.610830,3.799480
0.611670,3.798790
0.612500,3.798100
0.613330,3.797390
0.614170,3.796690
0.615000,3.795990
0.615830,3.795280
0.616670,3.794570
0.617500,3.793880
0.618330,3.793200
0.619170,3.792540
0.620000,3.791870
0.620830,3.791200
0.621670,3.790520
0.622500,3.789870
0.623330,3.789220
0.624170,3.788600
0.625000,3.787960
0.625830,3.787330
0.626670,3.786670
0.627500,3.786060
0.628330,3.785440
0.629170,3.784850
0.630000,3.784250
0.630830,3.783650
0.631670,3.783050
0.632500,3.782440
0.633330,3.781840
0.634170,3.781230
0.635000,3.780640
0.635830,3.780060
0.636670,3.779490
0.637500,3.778940
0.638330,3.778380
0.639170,3.777890
0.640000,3.777330
0.640830,3.776780
0.641670,3.776160
0.642500,3.775630
0.643330,3.775090
0.644170,3.774630
0.645000,3.774120
0.645830,3.773620
0.646670,3.773120
0.647500,3.772620
0.648330,3.772110
0.649170,3.771590
0.650000,3.771110
0.650830,3.770630
0.651670,3.770180
0.652500,3.769720
0.653330,3.769240
0.654170,3.768770
0.655000,3.768310
0.655830,3.767840
0.656670,3.767350
0.657500,3.766900
0.658330,3.766450
0.659170,3.766050
0.660000,3.765600
0.660830,3.765150
0.661670,3.764630
0.662500,3.764190
0.663330,3.763760
0.664170,3.763410
0.665000,3.762990
0.665830,3.762570
0.666670,3.762110
0.667500,3.761690
0.668330,3.761270
0.669170,3.760900
0.670000,3.760480
0.670830,3.760070
0.671670,3.759590
0.672500,3.759180
0.673330,3.758760
0.674170,3.758370
0.675000,3.757980
0.675830,3.757580
0.676670,3.757160
0.677500,3.756770
0.678330,3.756390
0.679170,3.756060
0.680000,3.755660
0.680830,3.755280
0.681670,3.754870
0.682500,3.754460
0.683330,3.754060
0.684170,3.753650
0.685000,3.753270
0.685830,3.752870
0.686670,3.752540
0.687500,3.752160
0.688330,3.751780
0.689170,3.751340
0.690000,3.750960
0.690830,3.750570
0.691670,3.750220
0.692500,3.749850
0.693330,3.749480
0.694170,3.749140
0.695000,3.748750
0.695830,3.748370
0.696670,3.747930
0.697500,3.747550
0.698330,3.747160
0.699170,3.746810
0.700000,3.746440
0.700830,3.746070
0.701670,3.745730
0.702500,3.745340
0.703330,3.744950
0.704170,3.744520
0.705000,3.744140
0.705830,3.743760
0.706670,3.743400
0.707500,3.743030
0.708330,3.742660
0.709170,3.742310
0.710000,3.741930
0.710830,3.741540
0.711670,3.741120
0.712500,3.740720
0.713330,3.740340
0.714170,3.740010
0.715000,3.739620
0.715830,3.739240
0.716670,3.738820
0.717500,3.738420
0.718330,3.738020
0.719170,3.737610
0.720000,3.737220
0.720830,3.736820
0.721670,3.736400
0.722500,3.736010
0.723330,3.735630
0.724170,3.735310
0.725000,3.734910
0.725830,3.734510
0.726670,3.734030
0.727500,3.733600
0.728330,3.733190
0.729170,3.732800
0.730000,3.732400
0.730830,3.732000
0.731670,3.731620
0.732500,3.731200
0.733330,3.730780
0.734170,3.730320
0.735000,3.729900
0.735830,3.729470
0.736670,3.729100
0.737500,3.728690
0.738330,3.728270
0.739170,3.727830
0.740000,3.727390
0.740830,3.726950
0.741670,3.726520
0.742500,3.726080
0.743330,3.725650
0.744170,3.725230
0.745000,3.724780
0.745830,3.724330
0.746670,3.723830
0.747500,3.723380
0.748330,3.722930
0.749170,3.722520
0.750000,3.722070
0.750830,3.721620
0.751670,3.721140
0.752500,3.720670
0.753330,3.720210
0.754170,3.719720
0.755000,3.719260
0.755830,3.718810
0.756670,3.718410
0.757500,3.717960
0.758330,3.717510
0.759170,3.717050
0.760000,3.716550
0.760830,3.716070
0.761670,3.715540
0.762500,3.715050
0.763330,3.714570
0.764170,3.714120
0.765000,3.713650
0.765830,3.713190
0.766670,3.712710
0.767500,3.712240
0.768330,3.711780
0.769170,3.711310
