# OCP of Si (anode) vs Li/Li+ digitized from https://real.hanyang.ac.kr/materials
# sto,ocp
0.015000,0.911830
0.015830,0.884100
0.016670,0.856370
0.017500,0.840440
0.018330,0.824520
0.019170,0.822460
0.020000,0.816280
0.020830,0.810090
0.021670,0.807560
0.022500,0.803340
0.023330,0.799110
0.024170,0.794990
0.025000,0.790910
0.025830,0.786830
0.026670,0.782820
0.027500,0.778880
0.028330,0.774930
0.029170,0.771050
0.030000,0.767240
0.030830,0.763430
0.031670,0.759690
0.032500,0.756010
0.033330,0.752340
0.034170,0.748740
0.035000,0.745180
0.035830,0.741620
0.036670,0.738110
0.037500,0.734650
0.038330,0.731200
0.039170,0.727770
0.040000,0.724430
0.040830,0.721080
0.041670,0.717840
0.042500,0.714600
0.043330,0.711360
0.044170,0.708120
0.045000,0.704980
0.045830,0.701830
0.046670,0.698770
0.047500,0.695750
0.048330,0.692720
0.049170,0.689770
0.050000,0.686830
0.050830,0.683890
0.051670,0.680940
0.052500,0.678110
0.053330,0.675260
0.054170,0.672520
0.055000,0.669780
0.055830,0.667040
0.056670,0.664340
0.057500,0.661660
0.058330,0.658990
0.059170,0.656330
0.060000,0.653740
0.060830,0.651150
0.061670,0.648610
0.062500,0.646120
0.063330,0.643630
0.064170,0.641220
0.065000,0.638800
0.065830,0.636380
0.066670,0.633940
0.067500,0.631580
0.068330,0.629230
0.069170,0.626920
0.070000,0.624660
0.070830,0.622410
0.071670,0.620240
0.072500,0.618040
0.073330,0.615850
0.074170,0.613670
0.075000,0.611520
0.075830,0.609390
0.076670,0.607260
0.077500,0.605210
0.078330,0.603160
0.079170,0.601190
0.080000,0.599200
0.080830,0.597210
0.081670,0.595210
0.082500,0.593280
0.083330,0.591340
0.084170,0.589440
0.085000,0.587560
0.085830,0.585690
0.086670,0.583870
0.087500,0.582050
0.088330,0.580230
0.089170,0.578390
0.090000,0.576640
0.090830,0.574880
0.091670,0.573220
0.092500,0.571520
0.093330,0.569820
0.094170,0.568060
0.095000,0.566400
0.095830,0.564750
0.096670,0.563180
0.097500,0.561600
0.098330,0.560010
0.099170,0.558430
0.100000,0.556880
0.100830,0.555330
0.101670,0.553780
0.102500,0.552270
0.103330,0.550770
0.104170,0.549320
0.105000,0.547850
0.105830,0.546400
0.106670,0.544970
0.107500,0.543550
0.108330,0.542120
0.109170,0.540710
0.110000,0.539330
0.110830,0.537970
0.111670,0.536640
0.112500,0.535320
0.113330,0.534010
0.114170,0.532700
0.115000,0.531410
0.115830,0.530130
0.116670,0.528860
0.117500,0.527600
0.118330,0.526350
0.119170,0.525110
0.120000,0.523890
0.120830,0.522670
0.121670,0.521460
0.122500,0.520280
0.123330,0.519110
0.124170,0.518010
0.125000,0.516870
0.125830,0.515740
0.126670,0.514580
0.127500,0.513470
0.128330,0.512350
0.129170,0.511240
0.130000,0.510160
0.130830,0.509070
0.131670,0.508000
0.132500,0.506950
0.133330,0.505900
0.134170,0.504860
0.135000,0.503840
0.135830,0.502820
0.136670,0.501820
0.137500,0.500830
0.138330,0.499850
0.139170,0.498900
0.140000,0.497930
0.140830,0.496950
0.141670,0.495950
0.142500,0.495010
0.143330,0.494080
0.144170,0.493210
0.145000,0.492310
0.145830,0.491410
0.146670,0.490500
0.147500,0.489600
0.148330,0.488700
0.149170,0.487760
0.150000,0.486900
0.150830,0.486030
0.151670,0.485220
0.152500,0.484390
0.153330,0.483550
0.154170,0.482710
0.155000,0.481890
0.155830,0.481050
0.156670,0.480170
0.157500,0.479380
0.158330,0.478570
0.159170,0.477840
0.160000,0.477070
0.160830,0.476300
0.161670,0.475530
0.162500,0.474760
0.163330,0.473990
0.164170,0.473210
0.165000,0.472450
0.165830,0.471700
0.166670,0.470990
0.167500,0.470250
0.168330,0.469520
0.169170,0.468760
0.170000,0.468050
0.170830,0.467330
0.171670,0.466640
0.172500,0.465940
0.173330,0.465240
0.174170,0.464520
0.175000,0.463840
0.175830,0.463150
0.176670,0.462500
0.177500,0.461830
0.178330,0.461160
0.179170,0.460470
0.180000,0.459830
0.180830,0.459170
0.181670,0.458560
0.182500,0.457920
0.183330,0.457280
0.184170,0.456650
0.185000,0.456010
0.185830,0.455370
0.186670,0.454730
0.187500,0.454100
0.188330,0.453490
0.189170,0.452900
0.190000,0.452310
0.190830,0.451700
0.191670,0.451080
0.192500,0.450500
0.193330,0.449910
0.194170,0.449380
0.195000,0.448800
0.195830,0.448210
0.196670,0.447570
0.197500,0.446990
0.198330,0.446400
0.199170,0.445830
0.200000,0.445290
0.200830,0.444730
0.201670,0.444230
0.202500,0.443680
0.203330,0.443130
0.204170,0.442530
0.205000,0.441980
0.205830,0.441420
0.206670,0.440900
0.207500,0.440370
0.208330,0.439830
0.209170,0.439300
0.210000,0.438770
0.210830,0.438230
0.211670,0.437680
0.212500,0.437160
0.213330,0.436640
0.214170,0.436160
0.215000,0.435660
0.215830,0.435160
0.216670,0.434660
0.217500,0.434150
0.218330,0.433650
0.219170,0.433150
0.220000,0.432650
0.220830,0.432150
0.221670,0.431650
0.222500,0.431150
0.223330,0.430640
0.224170,0.430130
0.225000,0.429640
0.225830,0.429160
0.226670,0.428730
0.227500,0.428240
0.228330,0.427760
0.229170,0.427220
0.230000,0.426740
0.230830,0.426250
0.231670,0.425800
0.232500,0.425330
0.233330,0.424860
0.234170,0.424400
0.235000,0.423930
0.235830,0.423460
0.236670,0.423000
0.237500,0.422520
0.238330,0.422050
0.239170,0.421570
0.240000,0.421120
0.240830,0.420670
0.241670,0.420260
0.242500,0.419810
0.243330,0.419360
0.244170,0.418860
0.245000,0.418410
0.245830,0.417960
0.246670,0.417540
0.247500,0.417110
0.248330,0.416680
0.249170,0.416240
0.250000,0.415800
0.250830,0.415370
0.251670,0.414940
0.252500,0.414500
0.253330,0.414070
0.254170,0.413630
0.255000,0.413200
0.255830,0.412760
0.256670,0.412330
0.257500,0.411900
0.258330,0.411460
0.259170,0.411020
0.260000,0.410590
0.260830,0.410160
0.261670,0.409710
0.262500,0.409290
0.263330,0.408870
0.264170,0.408500
0.265000,0.408080
0.265830,0.407670
0.266670,0.407200
0.267500,0.406780
0.268330,0.406360
0.269170,0.405990
0.270000,0.405580
0.270830,0.405160
0.271670,0.404700
0.272500,0.404270
0.273330,0.403860
0.274170,0.403470
0.275000,0.403070
0.275830,0.402670
0.276670,0.402280
0.277500,0.401870
